iter	Passed	Remaining
0	164	164560
1	172	85853
2	176	58760
3	182	45354
4	188	37468
5	193	31985
6	197	28040
7	201	25029
8	207	22867
9	211	20983
10	215	19346
11	220	18162
12	224	17035
13	228	16059
14	231	15175
15	236	14518
16	239	13873
17	244	13312
18	247	12768
19	252	12383
20	256	11939
21	259	11526
22	262	11137
23	265	10794
24	270	10533
25	273	10230
26	275	9943
27	278	9677
28	283	9495
29	287	9279
30	290	9084
31	293	8885
32	296	8700
33	302	8585
34	305	8418
35	308	8263
36	314	8193
37	317	8048
38	321	7920
39	324	7784
40	328	7684
41	331	7561
42	334	7447
43	337	7334
44	340	7226
45	344	7145
46	347	7045
47	350	6950
48	353	6857
49	356	6767
50	359	6698
51	362	6616
52	366	6541
53	369	6467
54	372	6393
55	376	6347
56	380	6291
57	383	6227
58	386	6162
59	389	6098
60	393	6060
61	398	6026
62	402	5979
63	405	5926
64	409	5891
65	412	5842
66	415	5790
67	418	5739
68	421	5690
69	426	5659
70	429	5613
71	431	5566
72	434	5521
73	437	5476
74	441	5450
75	444	5408
76	447	5367
77	450	5326
78	453	5287
79	457	5263
80	460	5228
81	463	5191
82	466	5154
83	469	5119
84	474	5103
85	477	5070
86	479	5036
87	482	5004
88	485	4972
89	490	4958
90	493	4932
91	496	4902
92	499	4872
93	502	4846
94	506	4829
95	509	4801
96	513	4776
97	516	4750
98	519	4725
99	523	4711
100	526	4686
101	529	4661
102	532	4641
103	536	4625
104	540	4605
105	543	4585
106	547	4569
107	550	4550
108	555	4542
109	559	4525
110	563	4509
111	567	4495
112	572	4491
113	575	4472
114	579	4458
115	582	4438
116	587	4430
117	591	4419
118	594	4403
119	598	4386
120	602	4375
121	607	4374
122	611	4358
123	614	4342
124	619	4336
125	623	4325
126	627	4311
127	630	4293
128	634	4286
129	639	4280
130	643	4266
131	647	4254
132	652	4252
133	656	4242
134	659	4228
135	663	4214
136	668	4211
137	672	4202
138	676	4188
139	679	4173
140	684	4169
141	688	4159
142	691	4145
143	695	4132
144	700	4131
145	704	4122
146	708	4109
147	713	4105
148	717	4100
149	721	4089
150	725	4079
151	729	4072
152	734	4066
153	737	4053
154	741	4042
155	745	4036
156	750	4031
157	754	4021
158	757	4008
159	763	4007
160	767	3997
161	770	3986
162	774	3977
163	779	3974
164	784	3967
165	788	3959
166	792	3950
167	797	3948
168	801	3939
169	804	3926
170	807	3916
171	813	3914
172	817	3905
173	820	3894
174	823	3884
175	828	3879
176	832	3872
177	836	3861
178	840	3852
179	844	3848
